station_naam,postcode_gebied_station,postcode_aangrenzende_postcode_gebieden
't-harde,8084,"8072,8081,8084,8085,8096,8162"
helmond-'t-hout,5707,"5673,5674,5701,5702,5706,5707,5708,5731,5735"
abcoude,1391,"1105,1106,1107,1108,1109,1191,1383,1391,1393,1396,3632,3645,3646"
akkrum,8491,"9001,8467,8468,8491,8493,8494,8495,9011"
alkmaar,1815,"1811,1814,1815,1816,1817,1823,1824,1851"
alkmaar-noord,1824,"1815,1817,1822,1823,1824,1825,1826"
almelo,7604,"7602,7604,7605,7606,7607,7609,7641,7642"
almere-centrum,1315,"1312,1314,1315,1324,1325"
alphen-aan-den-rijn,2405,"2401,2404,2405,2406,2407,2408,2409,2771"
amersfoort-centraal,3818,"3768,3707,3769,3811,3812,3817,3818,3819,3832,3931"
amsterdam-amstel,1097,"1078,1079,1091,1092,1093,1096,1097,1098,1111,1112,1115"
amsterdam-centraal,1012,"1011,1012,1013,1015,1016,1017,1021,1031"
amsterdam-zuid,1077,"1071,1075,1076,1077,1078,1081,1082,1083"
anna-paulowna,1761,"1756,1757,1759,1761,1764,1766,1774,1778"
apeldoorn,7311,"7311,7312,7314,7315,7316,7317,7321,7322,7328,7331,7332,7335"
arnemuiden,4341,"4332,4338,4339,4341,4351,4456,4458,4471,4493"
arnhem-centraal,6814,"6812,6811,6813,6814,6815,6816,6821,6828"
arnhem-zuid,6843,"6841,6842,6843,6844,6845,6846"
assen,9401,"9401,9402,9403,9404,9405,9406"
baarn,3743,"3741,3742,3743,3744,3761,3762"
barendrcht,2991,"2988,2991,2992,2995,3076,3079,3274"
beilen,9411,"7991,9411,9412,9413,9414,9415,9417,9418,9423,9431,9433,9434,9435"
bergen-op-zoom,4621,"4611,4615,4621,4622,4623,4624"
best,5683,"5626,5627,5651,5657,5681,5682,5683,5684"
beverwijk,1948,"1948,1566,1941,1942,1946,1947,1951,1967,1981"
amsterdam-bijlmer-arena,1101,"1101,1102,1105,1106,1114,1115,1191"
bilthoven,3723,"3721,3722,3723,3734,3737,3738,3739,3749"
rotterdam-blaak,3011,"3011,3012,3013,3015,3016,3031,3032,3061,3063,3071,3072"
blerick,5928,"5911,5914,5916,5921,5922,5925,5927,5928,5941,5963,5971,5975,5993"
bloemendaal,2061,"2023,2024,2051,2061,2071,2082"
bodegraven,2411,"2407,2411,2412,2415,2421,2471,2771,2811,3443,3465,3474"
borne,7621,"7495,7555,7559,7621,7622,7625,7627"
boskoop,2771,"2391,2405,2407,2409,2411,2741,2742,2771,2811"
boven-hardinxveld,3371,"3313,3361,3364,3370,3371,3372,3373,3381"
bovenkarspel-flora,1611,"1601,1602,1606,1611,1613,1619"
bovenkarspel-grootebroek,1611,"1601,1602,1606,1611,1613,1619"
boxtel,5281,"5062,5281,5282,5283,5298,5688"
helmond-brandevoort,5707,"5673,5674,5701,5702,5706,5707,5708,5731,5735"
breda,4811,"4812,4811,4814,4815,4816,4817,4818,4819"
breukelen,3621,"1231,3455,3601,3603,3605,3607,3612,3621,3625,3626,3628,3631"
helmond-brouwhuis,5709,"5709,5702,5703,5704,5705,5735,5751,5752,5756,5761"
brummen,6971,"6964,6971,6974,6975,7205,7206,7207,7221,7226"
almere-buiten,1334,"1333,1334,1335,1338"
bunnik,3981,"3584,3585,3703,3704,3709,3981,3984,3992,3993,3994"
bussum-zuid,1403,"1222,1251,1272,1402,1403,1404,1406"
houten-castellum,3995,"3991,3992,3993,3994,3995"
castricum,1901,"1901,1852,1902,1906,1935,1968,1969"
deventer-colmschate,7422,"7418,7421,7422,7423,7429"
culemborg,4104,"4101,4103,4104,4105,4107"
veendendaal-de-klomp,6745,"3902,3905,3907,6718,6744,6745"
almelo-de-riet,7606,"7601,7604,7605,7606,7607,7609"
de-vink,2253,"2245,2251,2252,2253,2254,2324,2331"
delft,2611,"2288,2289,2611,2612,2613,2624,2627,2628"
delft-campus,2624,"2611,2613,2614,2622,2623,2624,2625,2627"
's-hertogenbosch,5211,"5211,5212,5213,5215,5216,5222,5223,5261,5264"
den-dolder,3734,"3768,3712,3722,3723,3734,3735,3744,3749,3763,3766"
den-haag-centraal,2595,"2515,2593,2273,2274,2511,2516,2594,2595"
den-helder,1781,"1781,1782,1785,1786"
deurne,5753,"5751,5752,5753,5754,5756,5757,5759,5766"
deventer,7411,"7411,7412,7413,7417,7418,7419"
diemen,1111,"1087,1095,1097,1098,1111,1112,1113,1382,1398"
diemen-zuid,1112,"1097,1102,1103,1104,1108,1109,1111,1112,1115,1382"
dieren,6953,"6951,6952,6953,6955,6956,7225"
's-hertogenbosch-oost,5231,"5212,5213,5221,5222,5231,5232,5233,5234,5235,5237"
den-haag-hs,2515,"2512,2515,2511,2516,2521,2525,2526,2595"
den-helder-zuid,1784,"1782,1783,1784,1785,1786,1787,1789"
dordrecht-zuid,3317,"3312,3314,3316,3317,3318,3328"
dordrecht,3314,"3311,3312,3314,3316,3317,3318"
driebergen-zeist,3972,"3708,3709,3941,3945,3947,3971,3972,3984,3985"
driehuis,1985,"1971,1981,1985,2071"
dronten,8251,"8219,8251,8252,8253,8254,8255,8256,8264,8265"
duivendrecht,1115,"1096,1097,1101,1102,1112,1114,1115"
nijmegen-dukenburg,6538,"6534,6535,6536,6537,6538,6544,6545,6546"
ede-wageningen,6711,"6711,6712,6713,6717,6718,6721"
eindhoven-centraal,5611,"5611,5612,5613,5614,5615,5616"
elst,6662,"6661,6515,6662,6675,6677,6681,6684"
enkhuizen,1601,"1601,1602,1611,1619,8242"
enschede,7511,"7511,7512,7513,7514,7531,7533,7535"
