station_naam;postcode_gebied_station;postcode_aangrenzende_postcode_gebieden
Hoorn Kers;1628;1695,1623,1624,1627,1628,1689,1696,1697
Voorburg;2271;2275,2271,2272,2273,2274,2491
Moerwijk;2524;2523,2524,2283,2284,2521,2531,2532
Mariahoeve;2591;2591,2245,2261,2272,2592,2594
Laan v NOI;2595;2515,2593,2273,2274,2511,2516,2594,2595
Lansingerl;2712;2719,2665,2711,2712,2713,2718,2722
Zoetermr O;2712;2719,2665,2711,2712,2713,2718,2722
Zoetermeer;2719;2642,2719,2641,2651,2712,2713,2715,2716,2718,2723,2729
Stadspldrs;3315;3315,3312,3313,3319,3329
Soest;3764;3768,3741,3742,3761,3762,3764,3765,3828
Soest Z;3768;3768,3712,3734,3764,3765,3766,3769,3812,3818,3819,3828
Etten-Leur;4872;4839,4841,4871,4872,4873,4874,4875
Rosmalen;5241;5242,5232,5241,5243,5244,5245,5247
Brouwhuis;5709;5709,5702,5703,5704,5705,5735,5751,5752,5756,5761
Geleen-Lut;6163;6161,6134,6135,6142,6162,6163,6167,6171
Wezep;8091;8051,8091,8094,8095,8096,8097,8181,8191,8276,8278
Wolvega;8471;8396,8397,8398,8471,8472,8474,8477,8478,8487,8488
Amsterdm C;1012;1011,1012,1013,1015,1016,1017,1021,1031
Muiderprt;1093;1018,1019,1092,1093,1094,1097,1098
Sloterdijk;1043;1014,1042,1043,1044,1046,1055,1061,1063,1067
Halfweg-Zw;1165;1047,1067,1161,1165,2064,2065
Lelylaan;1065;1062,1064,1065,1066,1068
Amsterdm Z;1077;1071,1075,1076,1077,1078,1081,1082,1083
RAI;1083;1077,1078,1079,1082,1083,1096,1183
Scienceprk;1098;1093,1094,1095,1097,1098,1111
vd Madeweg;1114;1096,1101,1114,1115,1191
Duivendrt;1115;1096,1097,1101,1102,1112,1114,1115
Amstel;1097;1078,1079,1091,1092,1093,1096,1097,1098,1111,1112,1115
Diemen;1111;1087,1095,1097,1098,1111,1112,1113,1382,1398
Bijlmer A;1101;1101,1102,1105,1106,1114,1115,1191
Holendrcht;1105;1101,1102,1105,1106,1107,1191,1391
Diemen Z;1112;1097,1102,1103,1104,1108,1109,1111,1112,1115,1382
Schiphol;1118;1117,1118,1119,1171,1175,1437,1438,2131,2132,2141,2143
Hilversum;1211;1217,1211,1212,1213,1214,1215,1221,1222
Sportpark;1213;1211,1212,1213,1214,1215,1223,1231,1251,3739,3744,3749
Hol Rading;3739;1213,1231,3612,3615,3625,3723,3738,3739,3749
Media Park;1217;1217,1211,1215,1216,1218,1222,1243,1406
Naarden-Bu;1404;1401,1402,1403,1404,1405,1406,1412
Almere C;1315;1312,1314,1315,1324,1325
Muziekwijk;1323;1311,1312,1321,1323,1324
Poort;1361;1309,1361,1362,1363
Parkwijk;1326;1318,1325,1326,1327,1328,1329
Buiten;1334;1333,1334,1335,1338
Oostvaard;1335;1339,1331,1332,1333,1334,1335,1336,1338
Weesp;1382;1109,1111,1112,1381,1382,1384,1398,1399
Abcoude;1391;1105,1106,1107,1108,1109,1191,1383,1391,1393,1396,3632,3645,3646
Bussum Z;1403;1222,1251,1272,1402,1403,1404,1406
Weidevenne;1448;1121,1441,1448,1451,1456,1461
Overwhere;1443;1441,1442,1443,1445,1446,1447
Purmerend;1441;1121,1441,1442,1443,1445,1447,1448,1452,1456,1461
Zaandam;1506;1041,1044,1501,1502,1505,1506,1507,1508,1541
Kogerveld;1508;1502,1503,1506,1508,1509,1511,1541
Wormerveer;1521;1509,1521,1525,1531,1534,1544,1551,1561,1566
Koog Zaan;1541;1506,1507,1508,1509,1541,1544,1551
Zaanse S.;1541;1506,1507,1508,1509,1541,1544,1551
Krommenie;1567;1561,1562,1566,1567,1911
Heemskerk;1966;1965,1946,1966,1967
Enkhuizen;1601;1601,1602,1611,1619,8242
Bovenk-Gr;1611;1601,1602,1606,1611,1613,1619
Bovenk Flo;1611;1601,1602,1606,1611,1613,1619
Hoogkrspl;1616;1606,1607,1614,1616,1617,1681,1693
Hoorn;1621;1621,1622,1623,1624,1627
Heerhugow;1703;1645,1702,1703,1704,1705,1711,1812,1822,1829,1841,1842
Obdam;1713;1643,1701,1704,1711,1713,1715,1716
Schagen;1741;1741,1742,1751,1757,1766,1768,1769
Anna Paulo;1761;1756,1757,1759,1761,1764,1766,1774,1778
Den Helder;1781;1781,1782,1785,1786
Dn Heldr Z;1784;1782,1783,1784,1785,1786,1787,1789
Alkmaar;1815;1811,1814,1815,1816,1817,1823,1824,1851
Alkmaar N;1824;1815,1817,1822,1823,1824,1825,1826
Heiloo;1851;1812,1814,1815,1816,1851,1852,1853,1906,1921,1934
Heiloo OV;1851;1812,1814,1815,1816,1851,1852,1853,1906,1921,1934
Castricum;1901;1901,1852,1902,1906,1935,1968,1969
Uitgeest;1911;1488,1489,1525,1536,1562,1566,1567,1902,1906,1911,1921,1963,1967
Beverwijk;1948;1948,1566,1941,1942,1946,1947,1951,1967,1981
Driehuis;1985;1971,1981,1985,2071
Santprt N;2071;1974,1971,1972,1981,1985,1991,2025,2026,2051,2061,2071,2082
Santprt Z;2082;2024,2025,2061,2071,2082
Haarlem;2011;2011,2012,2013,2014,2019,2021,2022,2023,2031,2032
Bloemendl;2061;2023,2024,2051,2061,2071,2082
Spaarnwde;2031;2011,2021,2022,2025,2031,2032,2033,2063,2064,2065
Zandvoort;2042;2041,2042,2051,2114,2116,2204
Overveen;2051;1974,1976,2015,2023,2041,2042,2051,2061,2071,2111,2116
Heemstede;2106;2012,2014,2101,2105,2106,2111,2114,2121
Hoofddorp;2132;1118,1171,1175,1435,1437,2131,2132,2133,2135,2152,2153
Nw Vennep;2153;1435,2132,2151,2152,2153,2154,2155,2156,2157
Sassenheim;2361;2158,2159,2161,2171,2172,2317,2318,2341,2343,2352,2361,2362
Voorhout;2215;2161,2171,2201,2203,2211,2215,2216,2231,2343
Hillegom;2182;2114,2121,2144,2161,2165,2181,2182,2191
Voorschtn;2252;2245,2251,2252,2253,2254,2261,2263,2264,2265
De Vink;2253;2245,2251,2252,2253,2254,2324,2331
Rijswijk;2283;2522,2523,2524,2282,2283,2284,2288
Leiden C;2312;2311,2312,2315,2316,2321,2332,2333,2334
Leiden Lam;2313;2311,2313,2314,2315,2321,2322
Leiden Tr.;2342;2231,2235,2332,2333,2334,2341,2342
Boskoop;2771;2391,2405,2407,2409,2411,2741,2742,2771,2811
Alphen;2405;2401,2404,2405,2406,2407,2408,2409,2771
Bodegraven;2411;2407,2411,2412,2415,2421,2471,2771,2811,3443,3465,3474
Ypenburg;2496;2491,2493,2495,2496,2497,2631,2632
Den Haag C;2595;2515,2593,2273,2274,2511,2516,2594,2595
Dn Haag HS;2515;2512,2515,2511,2516,2521,2525,2526,2595
Delft;2611;2288,2289,2611,2612,2613,2624,2627,2628
Delft Camp;2624;2611,2613,2614,2622,2623,2624,2625,2627
Schollevr;2907;2903,2905,2906,2907,2908,2911,3067
Nieuwerkrk;2911;2841,2904,2905,2907,2908,2911,2912,2914,2935
Alexander;3068;2908,3056,3059,3067,3068,3069
Rotterdm N;3036;3034,3035,3036,3037,3051
Gouda;2801;2741,2801,2802,2803,2805,2806,2808,2809
Waddinxv N;2742;2391,2731,2741,2742,2743,2751,2752,2761,2771,2841
Waddinxvn;2742;2391,2731,2741,2742,2743,2751,2752,2761,2771,2841
Triangel;2742;2391,2731,2741,2742,2743,2751,2752,2761,2771,2841
Snijdelwk;2771;2391,2405,2407,2409,2411,2741,2742,2771,2811
Goverwelle;2807;2805,2806,2807,2808,2811,2851
