,station_naam,postcode_gebied_station,postcode_aangrenzende_postcode_gebieden,pop_density_zone0,pop_density_zone1
0,'t Harde,8084,"['8072', '8081', '8084', '8085', '8096', '8162']",28.675240093598674,40.25172296439475
1,'t Hout,5707,"['5673', '5674', '5701', '5702', '5706', '5707', '5708', '5731', '5735']",140.71396098976032,194.70271246208387
2,Abcoude,1391,"['1105', '1106', '1107', '1108', '1109', '1191', '1383', '1391', '1393', '1396', '3632', '3645', '3646']",33.9886839286401,131.05800157819624
3,Akkrum,8491,"['9001', '8467', '8468', '8491', '8493', '8494', '8495', '9011']",28.22784339024464,12.540702800459842
4,Alkmaar,1815,"['1811', '1814', '1815', '1816', '1817', '1823', '1824', '1851']",424.1248821303422,438.2292084213424
5,Alkmaar N,1824,"['1815', '1817', '1822', '1823', '1824', '1825', '1826']",662.2246761903358,401.85282509842983
6,Almelo,7604,"['7602', '7604', '7605', '7606', '7607', '7609', '7641', '7642']",111.70403114754869,179.6880068940521
7,Almere C,1315,"['1312', '1314', '1315', '1324', '1325']",504.07833970432347,378.47915506323125
8,alphen-aan-den-rijn,2405,"['2401', '2404', '2405', '2406', '2407', '2408', '2409', '2771']",470.2429774506318,198.0612689311108
9,Amersfrt C,3818,"['3768', '3707', '3769', '3811', '3812', '3817', '3818', '3819', '3832', '3931']",101.37873153009237,175.33638929500444
10,Amstel,1097,"['1078', '1079', '1091', '1092', '1093', '1096', '1097', '1098', '1111', '1112', '1115']",510.2330262596662,837.9423413701023
11,Amsterdm C,1012,"['1011', '1012', '1013', '1015', '1016', '1017', '1021', '1031']",725.3580701684863,920.1470307600719
12,Amsterdm Z,1077,"['1071', '1075', '1076', '1077', '1078', '1081', '1082', '1083']",563.5775997298479,758.2192423592182
13,Anna Paulo,1761,"['1756', '1757', '1759', '1761', '1764', '1766', '1774', '1778']",23.3150717490879,13.85153247971985
14,Apeldoorn,7311,"['7311', '7312', '7314', '7315', '7316', '7317', '7321', '7322', '7328', '7331', '7332', '7335']",583.532873110919,342.84812819943636
15,Arnemuiden,4341,"['4332', '4338', '4339', '4341', '4351', '4456', '4458', '4471', '4493']",26.625303357045368,20.34399279717975
16,Arnhem C,6814,"['6812', '6811', '6813', '6814', '6815', '6816', '6821', '6828']",258.10001106142903,383.9931773897798
17,Arnhem Z,6843,"['6841', '6842', '6843', '6844', '6845', '6846']",494.1322084233751,354.42362408447576
18,Assen,9401,"['9401', '9402', '9403', '9404', '9405', '9406']",196.37781051256306,172.24852380478828
19,Baarn,3743,"['3741', '3742', '3743', '3744', '3761', '3762']",149.52423955891007,208.70495993266454
