,postcode_gebied_station,postcode_aangrenzende_postcode_gebieden,pop_density_zone0,pop_density_zone1,Year,Reizigers per dag,Klantoordeel,In- en uitstappers,Overstappers,Ochtendspits,Avondspits,Daluren,Lopend_voor,Lopend_na,Fiets_voor,Fiets_na,Bus/tram/metro_voor,Bus/tram/metro_na,Auto (bestuurder)_voor,Auto (bestuurder)_na,Auto (passagier)_voor,Auto (passagier)_na,(Deel)taxi_voor,(Deel)taxi_na
alkmaar,1815,"['1811', '1814', '1815', '1816', '1817', '1823', '1824', '1851']",424.1248821303422,438.2292084213424,2019,22018,84%,21495,523,22%,16%,62%,25%,50%,45%,19%,21%,23%,3%,2%,6%,6%,0%,0%
alkmaar-noord,1824,"['1815', '1817', '1822', '1823', '1824', '1825', '1826']",662.2246761903358,401.85282509842983,2019,5046,52%,5046,0,35%,9%,56%,19%,44%,47%,25%,5%,10%,21%,5%,8%,15%,0%,1%
alphen-aan-den-rijn,2405,"['2401', '2404', '2405', '2406', '2407', '2408', '2409', '2771']",470.2429774506318,198.0612689311108,2019,12630,72%,10996,1634,32%,13%,55%,23%,46%,48%,24%,17%,17%,8%,2%,4%,11%,0%,0%
amsterdam-amstel,1097,"['1078', '1079', '1091', '1092', '1093', '1096', '1097', '1098', '1111', '1112', '1115']",510.2330262596662,837.9423413701023,2019,37793,79%,36100,1693,14%,28%,58%,19%,36%,45%,13%,35%,50%,0%,0%,1%,1%,0%,0%
amsterdam-centraal,1012,"['1011', '1012', '1013', '1015', '1016', '1017', '1021', '1031']",725.3580701684863,920.1470307600719,2019,213035,87%,199510,13525,10%,22%,68%,21%,42%,29%,10%,49%,47%,0%,0%,1%,1%,0%,0%
amsterdam-zuid,1077,"['1071', '1075', '1076', '1077', '1078', '1081', '1082', '1083']",563.5775997298479,758.2192423592182,2019,73612,63%,68699,4913,15%,28%,57%,15%,49%,47%,15%,37%,35%,0%,0%,1%,1%,0%,0%
anna-paulowna,1761,"['1756', '1757', '1759', '1761', '1764', '1766', '1774', '1778']",23.3150717490879,13.85153247971985,2019,2092,71%,2092,0,39%,7%,54%,12%,21%,43%,12%,5%,9%,19%,12%,21%,46%,0%,0%
barendrecht,2991,"['2988', '2991', '2992', '2995', '3076', '3079', '3274']",165.4366118581891,229.03132005031065,2019,6066,79%,6066,0,33%,12%,55%,21%,40%,34%,22%,4%,8%,28%,6%,13%,24%,0%,0%
beverwijk,1948,"['1948', '1566', '1941', '1942', '1946', '1947', '1951', '1967', '1981']",81.38015382523561,295.37649387006985,2019,5411,53%,5411,0,24%,17%,59%,24%,51%,54%,25%,13%,16%,4%,0%,5%,8%,0%,0%
amsterdam-bijlmer-arena,1101,"['1101', '1102', '1105', '1106', '1114', '1115', '1191']",4.211847972682397,276.3775163515023,2019,32197,74%,30035,2162,8%,35%,57%,29%,80%,16%,2%,50%,16%,1%,0%,4%,2%,0%,0%
